N,anchor,hub_edges,hub_cost,weighting,metric,rank,node,is_prime,observed,null_mean,null_sd,null_min,null_max,z,p_empirical,null_degenerate,n_null_samples,pivots
1000,2,True,0.1,padic,degree,1,2,True,666.0,666.0,0.0,666.0,666.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,2,3,True,333.0,333.0,0.0,333.0,333.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,3,5,True,200.0,200.0,0.0,200.0,200.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,4,7,True,142.0,142.0,0.0,142.0,142.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,5,11,True,90.0,90.0,0.0,90.0,90.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,6,13,True,76.0,76.0,0.0,76.0,76.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,7,17,True,58.0,58.0,0.0,58.0,58.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,8,19,True,52.0,52.0,0.0,52.0,52.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,9,23,True,43.0,43.0,0.0,43.0,43.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,10,29,True,34.0,34.0,0.0,34.0,34.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,11,31,True,32.0,32.0,0.0,32.0,32.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,12,37,True,27.0,27.0,0.0,27.0,27.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,13,41,True,24.0,24.0,0.0,24.0,24.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,14,43,True,23.0,23.0,0.0,23.0,23.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,15,47,True,21.0,21.0,0.0,21.0,21.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,16,53,True,18.0,18.0,0.0,18.0,18.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,17,61,True,16.0,16.0,0.0,16.0,16.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,18,59,True,16.0,16.0,0.0,16.0,16.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,19,67,True,14.0,14.0,0.0,14.0,14.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree,20,71,True,14.0,14.0,0.0,14.0,14.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,1,2,True,3162.0,3162.0,0.0,3162.0,3162.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,2,3,True,839.0,839.0,0.0,839.0,839.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,3,5,True,457.0,457.0,0.0,457.0,457.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,4,7,True,314.0,314.0,0.0,314.0,314.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,5,11,True,196.0,196.0,0.0,196.0,196.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,6,13,True,165.0,165.0,0.0,165.0,165.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,7,17,True,127.0,127.0,0.0,127.0,127.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,8,19,True,114.0,114.0,0.0,114.0,114.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,9,23,True,95.0,95.0,0.0,95.0,95.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,10,29,True,77.0,77.0,0.0,77.0,77.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,11,31,True,73.0,73.0,0.0,73.0,73.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,12,37,True,62.0,62.0,0.0,62.0,62.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,13,41,True,56.0,56.0,0.0,56.0,56.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,14,43,True,54.0,54.0,0.0,54.0,54.0,0.0,1.0,True,100,200
1000,2,True,0.1,padic,degree_weighted,15,47,True,50.0,50.0,0.0,50.0,50.0,0.0,1.0,True,100,200
